call/composition/	composition
operator/boolean/not/	unary_operator:Not
operator/boolean/or/	boolean_operator:Or
operator/boolean/or/short_circuit/	short_circuit:Or
operator/boolean/short_circuit/	short_circuit
operator/division/	binary_operator:Div
operator/integer_division/	binary_operator:FloorDiv
operator/minus/	unary_operator:USub
operator/multiplication/	binary_operator:Mult
operator/multiplication/matrix/	binary_operator:MatMult
operator/percent/modulo/	binary_operator:Mod
operator/plus/	unary_operator:UAdd
operator/power/	binary_operator:Pow
operator/substraction/	binary_operator:Sub
operator/ternary/	conditional_expression
pattern/elements/accumulate/	accumulate_elements:.+
pattern/elements/filter/	filter_for
pattern/elements/find/best/	find_best_element
pattern/elements/find/first/	find_first_element
pattern/elements/satisfy/all/	universal_quantifier
pattern/elements/satisfy/some/	existential_quantifier
subscript/index/	index
subscript/index/arithmetic/	index_arithmetic
subscript/index/backwards/	negative_index
subscript/index/backwards/last/	negative_index:-1
test/belonging/	comparison_operator:In
test/belonging/not/	comparison_operator:NotIn
test/divisibility/	divisibility_test
test/divisibility/parity/	divisibility_test:2
test/equality/	comparison_operator:Eq
test/equality/not/	comparison_operator:NotEq
test/identity/	comparison_operator:Is
test/identity/not/	comparison_operator:IsNot
test/inequality/	comparison_operator:(Lt|LtE|Gt|GtE)
type/container/dictionary/	literal:Dict
type/container/list/	literal:List
type/container/set/	literal:Set
type/container/tuple/	literal:Tuple
type/elementary/boolean/	literal:(True|False)
type/elementary/null/	literal:None
type/elementary/number/	literal:Num
type/elementary/number/complex	imaginary_literal
type/elementary/number/floating_point	float_literal
type/elementary/number/integer	int_literal
type/elementary/string/	literal:Str
variable/assignment/augmented/	augmented_assignment
variable/assignment/chained/	chained_assignment
-- EOF	
operator/addition/concatenation/list	
operator/addition/concatenation/string	
operator/multiplication/replication/list	
operator/multiplication/replication/string	
operator/percent/format	
IO/standard/input	
IO/standard/print	
call/function/other	
call/function/other/predicate	
class_definition	
control_flow/loop/non_sequential	
control_flow/loop/non_sequential/divergent/break	
control_flow/loop/non_sequential/divergent/break/else	
control_flow/loop/non_sequential/divergent/infinite	
control_flow/loop/non_sequential/divergent/return	
control_flow/loop/sequential/divergent/break	
control_flow/loop/sequential/divergent/break/else	
control_flow/loop/sequential/divergent/return	
function_definition	
function_definition/decorated	
function_definition/procedure	
function_definition/without_arguments	
IO/file	
IO/standard/print/multiple	
IO/standard/print/newline	
IO/standard/print/without_newline	
library/standard/fractions/Fraction	
library/standard/math/log	
library/standard/math/sqrt	
library/standard/random/choice	
library/standard/random/randrange	
library/standard/random/shuffle	
library/third_party/ast/literal_eval	
library/third_party/num2words/num2words	
pattern/elements/accumulate/collect	
pattern/elements/accumulate/count	
pattern/elements/accumulate/find_best/index	
pattern/elements/find_first_good	
pattern/inputs/accumulate	
pattern/inputs/accumulate/count	
pattern/inputs/find_first_good	
pattern/states/accumulate	
pattern/states/accumulate/collect	
pattern/states/accumulate/count	
pattern/states/accumulate/find_best	
style/functional	
style/object	
style/one_liner	
style/procedural	
style/sequential	
style/test_driven	
subscript/index/double	
subscript/slice/start	
subscript/slice/step/backwards	
subscript/slice/stop	
type/container/dict/null	
type/container/list/null	
type/container/tuple/assignment	
type/container/tuple/assignment/swapping	
type/elementary/num/null	
type/elementary/string/newline	
type/elementary/string/null	
variable/assignment/argument	
variable/assignment/augmented/subscript	
variable/assignment/iteration_variable	
variable/assignment/iteration_variable/tuple	
variable/assignment/parallel/subscript	
variable/assignment/single	
variable/assignment/single/subscript	
variable/scope/global	
variable/scope/local	
variable/scope/local/argument	
variable/scope/outer	
variable/scope/shadowing	

test/equality/chained	find comparison_chained and two comparison_operator:Eq on the same line?
test/inequality/chained	idem?
