Taxa (replacement patterns)	Labels (search patterns)
def/import/third_party/\1	import:((?!(?:math|typing|random|sys|os|collections|itertools|string|time|decimal|doctest|argparse|unittest|base64|multiprocessing|pprint|bisect|functools|heapq|queue|__future__|abc|copy|datetime|hashlib|numbers|operator|pickle|statistics|struct|tempfile|timeit|turtle|urllib\.request|webbrowser|__main__|_dummy_thread|_thread|aifc|array|ast|asynchat|asyncio|asyncore|atexit|audioop|bdb|binascii|binhex|builtins|bz2|calendar|cgi|cgitb|chunk|cmath|cmd|code|codecs|codeop|collections\.abc|colorsys|compileall|concurrent\.futures|configparser|contextlib|contextvars|copyreg|crypt|csv|ctypes|curses|curses\.ascii|curses\.panel|curses\.textpad|dataclasses|dbm|difflib|dis|distutils|dummy_threading|email|ensurepip|enum|errno|faulthandler|fcntl|filecmp|fileinput|fnmatch|formatter|fractions|ftplib|gc|getopt|getpass|gettext|glob|grp|gzip|hmac|html|html\.entities|html\.parser|http|http\.client|http\.cookiejar|http\.cookies|http\.server|imaplib|imghdr|imp|importlib|inspect|io|ipaddress|json|keyword|linecache|locale|logging|logging\.config|logging\.handlers|lzma|mailbox|mailcap|marshal|mimetypes|mmap|modulefinder|msilib|msvcrt|multiprocessing\.shared_memory|netrc|nis|nntplib|optparse|os\.path|ossaudiodev|parser|pathlib|pdb|pickletools|pipes|pkgutil|platform|plistlib|poplib|posix|pty|pwd|py_compile|pyclbr|pydoc|quopri|re|readline|reprlib|resource|rlcompleter|runpy|sched|secrets|select|selectors|shelve|shlex|shutil|signal|site|smtpd|smtplib|sndhdr|socket|socketserver|spwd|sqlite3|ssl|stat|stringprep|subprocess|sunau|symbol|symtable|sysconfig|syslog|tabnanny|tarfile|telnetlib|termios|test|test\.support|test\.support\.script_helper|textwrap|threading|tkinter|tkinter\.scrolledtext|tkinter\.tix|tkinter\.ttk|token|tokenize|trace|traceback|tracemalloc|tty|types|unicodedata|unittest\.mock|urllib|urllib\.error|urllib\.parse|urllib\.response|urllib\.robotparser|uu|uuid|venv|warnings|wave|weakref|winreg|winsound|wsgiref|xdrlib|xml\.dom|xml\.dom\.minidom|xml\.dom\.pulldom|xml\.etree\.ElementTree|xml\.parsers\.expat|xml\.sax|xml\.sax\.handler|xml\.sax\.saxutils|xml\.sax\.xmlreader|xmlrpc|xmlrpc\.client|xmlrpc\.server|zipapp|zipfile|zipimport|zlib)\b)[^:]+)
def/import/third_party/\1/\2	import:((?!(?:math|typing|random|sys|os|collections|itertools|string|time|decimal|doctest|argparse|unittest|base64|multiprocessing|pprint|bisect|functools|heapq|queue|__future__|abc|copy|datetime|hashlib|numbers|operator|pickle|statistics|struct|tempfile|timeit|turtle|urllib\.request|webbrowser|__main__|_dummy_thread|_thread|aifc|array|ast|asynchat|asyncio|asyncore|atexit|audioop|bdb|binascii|binhex|builtins|bz2|calendar|cgi|cgitb|chunk|cmath|cmd|code|codecs|codeop|collections\.abc|colorsys|compileall|concurrent\.futures|configparser|contextlib|contextvars|copyreg|crypt|csv|ctypes|curses|curses\.ascii|curses\.panel|curses\.textpad|dataclasses|dbm|difflib|dis|distutils|dummy_threading|email|ensurepip|enum|errno|faulthandler|fcntl|filecmp|fileinput|fnmatch|formatter|fractions|ftplib|gc|getopt|getpass|gettext|glob|grp|gzip|hmac|html|html\.entities|html\.parser|http|http\.client|http\.cookiejar|http\.cookies|http\.server|imaplib|imghdr|imp|importlib|inspect|io|ipaddress|json|keyword|linecache|locale|logging|logging\.config|logging\.handlers|lzma|mailbox|mailcap|marshal|mimetypes|mmap|modulefinder|msilib|msvcrt|multiprocessing\.shared_memory|netrc|nis|nntplib|optparse|os\.path|ossaudiodev|parser|pathlib|pdb|pickletools|pipes|pkgutil|platform|plistlib|poplib|posix|pty|pwd|py_compile|pyclbr|pydoc|quopri|re|readline|reprlib|resource|rlcompleter|runpy|sched|secrets|select|selectors|shelve|shlex|shutil|signal|site|smtpd|smtplib|sndhdr|socket|socketserver|spwd|sqlite3|ssl|stat|stringprep|subprocess|sunau|symbol|symtable|sysconfig|syslog|tabnanny|tarfile|telnetlib|termios|test|test\.support|test\.support\.script_helper|textwrap|threading|tkinter|tkinter\.scrolledtext|tkinter\.tix|tkinter\.ttk|token|tokenize|trace|traceback|tracemalloc|tty|types|unicodedata|unittest\.mock|urllib|urllib\.error|urllib\.parse|urllib\.response|urllib\.robotparser|uu|uuid|venv|warnings|wave|weakref|winreg|winsound|wsgiref|xdrlib|xml\.dom|xml\.dom\.minidom|xml\.dom\.pulldom|xml\.etree\.ElementTree|xml\.parsers\.expat|xml\.sax|xml\.sax\.handler|xml\.sax\.saxutils|xml\.sax\.xmlreader|xmlrpc|xmlrpc\.client|xmlrpc\.server|zipapp|zipfile|zipimport|zlib)\b)[^:]+):(.+)
def/method/flavor/class	class_method:.+
def/method/flavor/instance	instance_method:.+
def/method/flavor/static	static_method:.+
def/method/naming/avoid_conflict	method:.+_(?>!_)
def/method/naming/internal_use	method:_(?!_).+
def/method/naming/internal_use/mangling	method:__.+(?<!__)
def/method/naming/magic/\1	method:(__.+__)
def/nested	nested_function:.+
def/nested/closure	closure:.+
def/procedure	function_returning_nothing:.+
def/procedure/test	function_returning_nothing:(.+_tests?|test_.+)
def/recursive	recursive_function:.+
def/recursive/body	body_recursive_function:.+
def/recursive/call_count/\1	recursive_call_count:(.+)
def/recursive/deep	deeply_recursive_function:.+
def/recursive/tail	tail_recursive_function:.+
def/return/nothing	return:None
def/return/something	return\b(?!:None\b)
flow/assertion	node:Assert
flow/conditional	if
flow/conditional/else	if_else_branch
flow/conditional/else/if	if_elif_branch
flow/conditional/guard	if_guard
flow/conditional/nested/\1	nested_if:(.+)
flow/conditional/no_else	if_without_else
flow/exception/catch/\1	try_except(?::(BaseException|SystemExit|KeyboardInterrupt|GeneratorExit|Exception|StopIteration|StopAsyncIteration|ArithmeticError|FloatingPointError|OverflowError|ZeroDivisionError|AssertionError|AttributeError|BufferError|EOFError|ImportError|ModuleNotFoundError|LookupError|IndexError|KeyError|MemoryError|NameError|UnboundLocalError|OSError|BlockingIOError|ChildProcessError|ConnectionError|BrokenPipeError|ConnectionAbortedError|ConnectionRefusedError|ConnectionResetError|FileExistsError|FileNotFoundError|InterruptedError|IsADirectoryError|NotADirectoryError|PermissionError|ProcessLookupError|TimeoutError|ReferenceError|RuntimeError|NotImplementedError|RecursionError|SyntaxError|IndentationError|TabError|SystemError|TypeError|ValueError|UnicodeError|UnicodeDecodeError|UnicodeEncodeError|UnicodeTranslateError|Warning|DeprecationWarning|PendingDeprecationWarning|RuntimeWarning|SyntaxWarning|UserWarning|FutureWarning|ImportWarning|UnicodeWarning|BytesWarning|ResourceWarning))?.*
flow/exception/raise/\1	try_raise(?::(BaseException|SystemExit|KeyboardInterrupt|GeneratorExit|Exception|StopIteration|StopAsyncIteration|ArithmeticError|FloatingPointError|OverflowError|ZeroDivisionError|AssertionError|AttributeError|BufferError|EOFError|ImportError|ModuleNotFoundError|LookupError|IndexError|KeyError|MemoryError|NameError|UnboundLocalError|OSError|BlockingIOError|ChildProcessError|ConnectionError|BrokenPipeError|ConnectionAbortedError|ConnectionRefusedError|ConnectionResetError|FileExistsError|FileNotFoundError|InterruptedError|IsADirectoryError|NotADirectoryError|PermissionError|ProcessLookupError|TimeoutError|ReferenceError|RuntimeError|NotImplementedError|RecursionError|SyntaxError|IndentationError|TabError|SystemError|TypeError|ValueError|UnicodeError|UnicodeDecodeError|UnicodeEncodeError|UnicodeTranslateError|Warning|DeprecationWarning|PendingDeprecationWarning|RuntimeWarning|SyntaxWarning|UserWarning|FutureWarning|ImportWarning|UnicodeWarning|BytesWarning|ResourceWarning))?.*
flow/loop/continue	node:Continue
flow/loop/exit/early/\1	loop_with_early_exit:.+:(.+)
flow/loop/exit/early/break/else	loop_with_else:.+
flow/loop/exit/late	loop_with_late_exit:.+
flow/loop/for	loop:for
flow/loop/for/arithmetic	for_range:[^:]+
flow/loop/for/arithmetic/start	for_range:[^:]+:[^:]+
flow/loop/for/arithmetic/start/step	for_range:[^:]+:[^:]+:(?!-)[^:]+
flow/loop/for/arithmetic/start/step/backwards	for_range:[^:]+:[^:]+:-[^:]+
flow/loop/for/elements	for_each\b.*
flow/loop/for/indexes	for_indexes\b.*
flow/loop/for/indexes_and_elements	for_indexes_elements\b.*
flow/loop/for/nested/\1	nested_for:(.+)
flow/loop/for/nested/square	square_nested_for
flow/loop/for/nested/triangular	triangular_nested_for
flow/loop/for/throwaway	for:_
flow/loop/while	loop:while
flow/loop/while/infinite	infinite_while
flow/null_operation	node:Pass
meta/ast/\1	ast_construction:(.+)
meta/complexity/\1	complexity:(.+)
meta/program	whole_span:.+
meta/sloc/\1	whole_span:(.+)
meta/technique/\1	technique:(.+)
meta/topic/\1	topic:(.+)
operator/arithmetic/addition	addition_operator
operator/arithmetic/division	binary_operator:Div
operator/arithmetic/integer_division	binary_operator:FloorDiv
operator/arithmetic/minus	unary_operator:USub
operator/arithmetic/modulo	modulo_operator
operator/arithmetic/multiplication	multiplication_operator
operator/arithmetic/plus	unary_operator:UAdd
operator/arithmetic/power	binary_operator:Pow
operator/arithmetic/substraction	binary_operator:Sub
operator/bitwise/and	binary_operator:BitAnd
operator/bitwise/complement	unary_operator:Invert
operator/bitwise/or	binary_operator:BitOr
operator/bitwise/shift/left	binary_operator:LShift
operator/bitwise/shift/right	binary_operator:RShift
operator/bitwise/xor	binary_operator:BitXor
operator/boolean/and	boolean_operator:And
operator/boolean/and/short_circuit	short_circuit:And
operator/boolean/not	unary_operator:Not
