call/composition	composition
operator/bitwise/shift/right	binary_operator:RShift
operator/bitwise/xor	binary_operator:BitXor
operator/boolean/and	boolean_operator:And
operator/boolean/and/short_circuit	short_circuit:And
operator/boolean/not	unary_operator:Not
operator/boolean/or	boolean_operator:Or
operator/boolean/or/short_circuit	short_circuit:Or
operator/boolean/short_circuit	short_circuit
operator/list/concatenation	concatenation_operator:List
operator/list/replication	replication_operator:List
operator/matrix/multiplication	binary_operator:MatMult
operator/string/concatenation	concatenation_operator:Str
operator/string/format	string_formatting_operator
operator/string/replication	replication_operator:Str
operator/ternary	conditional_expression
operator/tuple/concatenation	concatenation_operator:Tuple
operator/tuple/replication	replication_operator:Tuple
pattern/elements/accumulate	accumulate_all_elements/b.+
pattern/elements/accumulate/count	count_elements:.+
pattern/elements/accumulate/filtered	accumulate_some_elements/b.+
pattern/elements/accumulate/in_list	accumulate_all_elements:append
pattern/elements/accumulate/in_list/extension	accumulate_all_elements:extend
pattern/elements/accumulate/in_list/extension/filtered	accumulate_some_elements:extend
pattern/elements/accumulate/in_list/filtered	accumulate_some_elements:append
pattern/elements/accumulate/in_set	accumulate_all_elements:add
pattern/elements/accumulate/in_set/filtered	accumulate_some_elements:add
pattern/elements/accumulate/in_set/intersection	accumulate_all_elements:intersection
pattern/elements/accumulate/in_set/intersection/filtered	accumulate_some_elements:intersection
pattern/elements/accumulate/in_set/union	accumulate_all_elements:union
pattern/elements/accumulate/in_set/union/filtered	accumulate_some_elements:union
pattern/elements/accumulate/in_set/update	accumulate_elements:update
pattern/elements/accumulate/in_set/update/filtered	accumulsome_elements:update
pattern/elements/accumulate/product	accumulate_all_elements:Mult
pattern/elements/accumulate/product/filtered	accumulate_some_elements:Mult
pattern/elements/accumulate/substraction	accumulate_all_elements:Sub
pattern/elements/accumulate/substraction/filtered	accumulate_some_elements:Sub
pattern/elements/accumulate/summation	accumulate_all_elements:Add
pattern/elements/accumulate/summation/filtered	accumulate_some_elements:Add
pattern/elements/find/best	find_best_element:.+
pattern/elements/find/best/max	accumulate_all_elements:max
pattern/elements/find/best/max/filtered	accumulate_some_elements:max
pattern/elements/find/best/min	accumulate_all_elements:min
pattern/elements/find/best/min/filtered	accumulate_some_elements:min
pattern/elements/find/first	find_first_element:.+
pattern/elements/satisfy/all	universal_quantification:.+
pattern/elements/satisfy/some	existential_quantification:.+
pattern/inputs/accumulate	accumulate_inputs:.+
pattern/inputs/accumulate/count	count_inputs:.+
pattern/inputs/find_first_good	get_valid_input:.+
pattern/states/accumulate/count	count_states:.+
subroutine/argument/\1	function_argument_flavor:(.+)
subroutine/argument/no	function_without_arguments:.+
subroutine/decorated	decorated_function:.+
subroutine/function	function_returning_something:.+
subroutine/generator	generator:.+
subroutine/higher_order	higher_order_function:.+
subroutine/method/flavor/class	class_method:.+
subroutine/method/flavor/instance	instance_method:.+
subroutine/method/flavor/static	static_method:.+
subroutine/method/naming/avoid_conflict	method:.+_(?>!_)
subroutine/method/naming/internal_use	method:_(?!_).+
subroutine/method/naming/internal_use/name_mangling	method:__.+(?<!__)
subroutine/method/naming/magic	method:__.+__
subroutine/nested	nested_function:.+
subroutine/nested/closure	closure:.+
subroutine/predicate	function:(is|can|has|are|have)_.+
subroutine/procedure	function_returning_nothing:.+
subroutine/recursive	recursive_function:.+
subroutine/recursive/body	body_recursive_function:.+
subroutine/recursive/deep	deeply_recursive_function:.+
subroutine/recursive/tail	tail_recursive_function:.+
subroutine/test	function:.+_tests?
subroutine/test	function:test_.+
subscript/index	index:.+
subscript/index/arithmetic	index_arithmetic
subscript/index/backwards	negative_index
subscript/index/backwards/last	negative_index:-1
subscript/index/shape/\1	nested_index
subscript/slice/copy	slice:::
subscript/slice/start	slice:.+:.*:.*
subscript/slice/step	slice:.*:.*:.+
subscript/slice/step/backwards	slice:.*:.*:-.+
subscript/slice/stop	slice:.*:.+:.*
test/belonging	comparison_operator:In
test/belonging/not	comparison_operator:NotIn
test/divisibility	divisibility_test
test/divisibility/parity	divisibility_test:2
test/equality	comparison_operator:Eq
test/equality/chained/\1	chained_equalities:(\d+)
test/equality/not	comparison_operator:NotEq
test/identity	comparison_operator:Is
test/identity/not	comparison_operator:IsNot
test/inequality	comparison_operator:(Lt|LtE|Gt|GtE)
test/inequality/chained/\1	chained_inequalities:(\d+)
test/yoda	yoda_comparison:(Eq|NotEq|Is|IsNot)
topic/\1	topic:(.+)
type/container/dictionary	function_call:dict
type/container/dictionary	literal:Dict
type/container/dictionary/empty	empty_literal:Dict
type/container/dictionary/empty	function_call_without_arguments:dict
type/container/list	function_call:list
type/container/list	literal:List
type/container/list/empty	empty_literal:List
type/container/list/empty	function_call_without_arguments:list
type/container/range/empty	range:0
type/container/set	function_call:set
type/container/set	literal:Set
type/container/set/empty	function_call_without_arguments:set
type/container/tuple	function_call:tuple
type/container/tuple	literal:Tuple
